id,city,name,address,region,category,led_size,impressions_per_day,Daily operating hours,Installation Date
1,Auckland, AUCKLAND CITY,27 Panels,,,,,,
2,Auckland, RESTAURANT,,,,,,,
3,Auckland,The Sea Food Paradise Restaurant ,"22 Jellicoe Street, Auckland CBD, Auckland 1010",Auckland City,Restaurant,2.01*2.97m,300,8,
4,Auckland,Mr Charcoal,"184 Dominion Road, Mount Eden, Auckland 1024",Auckland City,Restaurant,1.21*2.33m,200,8,
5,Auckland,Wan Fu Yuan Restaurant Newmarket,"10 Suiter Street, Newmarket, Auckland 1023",Auckland City,Restaurant,1.21*2.33m,200,8,
6,Auckland,Golden Jade Restaurant,"417 Manukau Road, Epsom, Auckland 1023",Auckland City,Restaurant,1.05*2.01m,200,8,2024/3/21
7,Auckland,Guangdong BBQ,"147 Carlton Gore Road, Newmarket, Auckland 1023",Auckland City,Restaurant,1.05*2.01m,200,8,2024/4/16
8,Auckland,Cafe Greenfingers,"176/182 Shore Road, Remuera, Auckland 1052",Auckland City,Restaurant,65 inch,200,8,2024/4/17
9,Auckland,Golden Garden Restaurant,"583 Dominion Road, Mount Eden, Auckland 1041",Auckland City,Restaurant,1.21*2.33m,300,8,2024/5/3
10,Auckland,Hustle BBQ,"88 Broadway, Newmarket, Auckland 1023",Auckland City,Restaurant,65 inch,196,8,2024/6/17
11,Auckland,Little Elephants Cafe and Eatery,"179 Ladies Mile, Ellerslie, Auckland 1051",Auckland City,Restaurant,65 inch,100,8,2024/6/18
12,Auckland,Shaolin Kung Fu Noodles Dominion Rd,"636 Dominion Road, Mount Eden, Auckland",Auckland City,Restaurant,65 inch,130,8,2024/6/27
13,Auckland,Yong Fa Restaurant - Dominion Road,"1001 Dominion Road, Mount Roskill, Auckland",Auckland City,Restaurant,65 inch,160,8,2024/8/22
14,Auckland,Chongqing Noodles - Dominion Road,"340 Dominion Road, Mount Eden, Auckland",Auckland City,Restaurant,65 inch,200,8,2024/8/22
15,Auckland,Yong Fa Restaurant - Newmarket,"4 Kingdon Street, Newmarket, Auckland",Auckland City,Restaurant,66 inch,160,8,2024/8/26
16,Auckland,Ding Private Kitchen,"15 Alpers Avenue, Epsom, Auckland",Auckland City,Restaurant,65 inch,80,8,2024/9/3
17,Auckland,King Made Noodles - Newmarket,"440 Khyber Pass Road, Newmarket, Auckland",Auckland City,Restaurant,65inch,180,8,2024/10/23
18,Auckland,Umi BBQ,"1 Hobson Street, Auckland Central, Auckland",Auckland City,Restaurant,1.05*2.01m,170,8,2025/2/11
19,Auckland,The City Well Hot Pot,"152 Great South Road, Epsom, Auckland",Auckland City,Restaurant,65 inch,140,8,2025/2/23
20,Auckland,Hunan Restaurant,"710 Dominion Road, Mount Eden, Auckland 1041",Auckland City,Restaurant,65 inch,400,8,2025/4/27
21,Auckland,Hot Pot Skewers Restaurant,"27 Cross Street, Auckland Central, Auckland 1010",Auckland City,Restaurant,1.05*2.01m,150,8,2025/9/23
22,Auckland,Tang BBQ Restaurant - Dominion Road,"215 Dominion Road, Mount Eden, Auckland",Auckland City,Restaurant,65 inch,236,8,2025/10/16
23,Auckland,The Orient Café,"453 Great South Road, Penrose, Auckland 1061",Auckland City,Restaurant,1.05*2.01m,100,8,2026/2/17
24,Auckland, SUPERMARKET,,,,,,,
25,Auckland,New Save Asian Supermarket,"4-6 Short Street, Newmarket, Auckland 1023",Auckland City,Supermarket,1.53*2.97m,450,10,
26,Auckland,Yi Cart Asian Supermarket,"911 Dominion Road, Mount Roskill, Auckland 1041",Auckland City,Supermarket,1.05*2.01m,"1,043",10,
27,Auckland,Dahua Supermarket,"83 Dominion Road, Mount Eden, Auckland 1024",Auckland City,Supermarket,1.05*2.01m,700,10,
28,Auckland,Mount Roskill Fresh Supermarket,"3/32 Carr Road, Three Kings, Auckland 1042",Auckland City,Supermarket,1.05*2.01m,500,10,2024/5/2
29,Auckland,Furein Asian Supermarket,"Basement, Unit 1A/239 Queen Street, CBD, Auckland 1011",Auckland City,Supermarket,1.05*2.01m,800,10,2024/6/19
30,Auckland, SPORTS CENTRE,,,,,,,
31,Auckland,Sanda Academy,"555 Great South Road, Penrose, Auckland",Auckland City,Sports Centre,65 inch,45,12,2024/11/12
32,Auckland,NORTH SHORE CITY,35 Panels,,,,,,
33,Auckland, RESTAURANT,,,,,,,
34,Auckland,Yue's Dumpling Kitchen Albany Store,"21/23 Corinthian Drive, Albany, Auckland 0632",North Shore City,Restaurant,1.21*2.33m,250,8,
35,Auckland,Golden Rooster Chinese Restaurant,"100 Rosedale Road, Rosedale, Auckland 0632",North Shore City,Restaurant,1.21*2.33m,340,8,
36,Auckland,Asian Wok,"3 Bute Rd, Browns Bay, Auckland 0630",North Shore City,Restaurant,1.21*2.33m,300,8,
37,Auckland,Wow Buffet,"29 Link Drive, Wairau Valley, Auckland 0627",North Shore City,Restaurant,1.21*2.33m,100,8,
38,Auckland,The Base Bar & Grill,"1/83 Apollo Drive, Rosedale, Auckland 0632",North Shore City,Restaurant,1.21*2.33m,100,8,2024/3/14
39,Auckland,Mr Charcoal - Albany,"254 Cornerstone Drive, Albany, Auckland 0632",North Shore City,Restaurant,1.05*2.01m,200,8,2024/3/19
40,Auckland,Shaolin Kung Fu Noodles,"357 Albany Highway, Rosedale, Auckland 0632",North Shore City,Restaurant,1.21*2.33m,140,8,2024/5/31
41,Auckland,Hyatt Fusion Albany,"3/270 Oteha Valley Road, Albany, Auckland 0632",North Shore City,Restaurant,1.21*2.33m,200,8,2024/6/5
42,Auckland,Golden City Chinese Cuisine,"8A/21-23 Corinthian Drive, Albany, Auckland 0632",North Shore City,Restaurant,65 inch,100,8,2024/6/18
43,Auckland,Wide Bench Old Stove Hotpot,"94 Rosedale Road, Rosedale, Auckland 0632",North Shore City,Restaurant,65 inch,144,8,2024/6/19
44,Auckland,Wan Fu Yuan Restaurant Albany,"25 Corban Avenue, Albany, Auckland",North Shore City,Restaurant,65 inch,160,8,2024/6/27
45,Auckland,Who's Kitchen,"49C William Pickering Drive, Rosedale, Auckland",North Shore City,Restaurant,1.05*2.01m,120,8,2024/7/19
46,Auckland,Tang BBQ Restaurant Auckland,"103 Clyde Road, Browns Bay, Auckland",North Shore City,Restaurant,1.05*2.01m,160,8,2024/7/31
47,Auckland,Fortune 7 BBQ,"6/20 Link Drive, Wairau Valley, Auckland",North Shore City,Restaurant,1.05*2.01m,180,8,2024/8/9
48,Auckland,Yong Li Noodle,"40 Rosedale Road, Rosedale, Auckland",North Shore City,Restaurant,65 inch,400,8,2024/8/22
49,Auckland,Yong's Hand Pulled Noodles,"15 Pearn Crescent, Northcote, Auckland",North Shore City,Restaurant,65 inch,132,8,2024/8/22
50,Auckland,PinYue Shanghai Style,"10a/25 Corinthian Drive, Albany, Auckland",North Shore City,Restaurant,1.05*2.01m,160,8,2024/8/26
51,Auckland,Feizap Mailaan,"9/14 Corinthian Drive, Albany, Auckland",North Shore City,Restaurant,65 inch,160,8,2024/9/17
52,Auckland,Chongqing Noodles Albany,"9a/25 Corinthian Drive, Albany, Auckland",North Shore City,Restaurant,1.05*2.01m,130,8,2024/9/24
53,Auckland,First Day Fusion,"4a/270 Oteha Valley Road, Albany, Auckland",North Shore City,Restaurant,1.05*2.01m,252,8,2024/10/2
54,Auckland,Double Happy Restaurant Albany,"7A/21 - 23 Corinthian Drive, Albany, Auckland",North Shore City,Restaurant,65 inch,160,8,2024/11/10
55,Auckland,Asian Wok Yum Cha Albany,"28 Corinthian Drive, Albany, Auckland",North Shore City,Restaurant,1.05*2.01m,240,8,2024/11/22
56,Auckland,Yum Lamb Hotpot,"343 Albany Highway, Rosedale, Auckland",North Shore City,Restaurant,65 inch,140,8,2024/12/13
57,Auckland,Han hot pot,"11/8 Oracle Drive, Albany, Auckland",North Shore City,Restaurant,65 inch,180,8,2025/3/19
58,Auckland,Lunar House,"6/8 Oracle Drive, Albany, Auckland",North Shore City,Restaurant,65 inch,180,8,2025/3/30
59,Auckland,Mad Pot,"11B,21/23 Corinthian Drive, Albany, Auckland 0632",North Shore City,Restaurant,65 inch,200,8,2025/6/2
60,Auckland,Meat and More Butchery,"Unit 14/170 Wairau Road, Wairau Valley, Auckland 0627",North Shore City,Restaurant,65 inch,200,8,2025/6/25
61,Auckland,Chuan Bei Restaurant,"30/32 Clyde Road, Browns Bay, Auckland 0630",North Shore City,Restaurant,65 inch,56,8,2025/10/3
62,Auckland,Fresh Bite,"9/96 Rosedale Road, Albany, Auckland 0632",North Shore City,Restaurant,1.05*2.01m,110,8,2025/11/12
63,Auckland,Golden Origin BBQ,"13A Link Drive, Wairau Valley, Auckland 0627",North Shore City,Restaurant,1.05*2.01m,120,8,2026/1/29
64,Auckland, SUPERMARKET,,,,,,,
65,Auckland,Tai Ping Albany,"92 Rosedale Road, Rosedale, Auckland",North Shore City,Supermarket,1.05*2.01m,"1,200",10,2024/11/12
66,Auckland,Lianhua Supermarket Browns Bay,"27 Bute Road, Browns Bay, Auckland",North Shore City,Supermarket,1.05*2.01m,500,10,2024/12/12
67,Auckland,Dahua Supermarket,"Shop 4/100 Don McKinnon Drive, Albany, Auckland 0632",North Shore City,Supermarket,2.65*1.37m,"1,000",10,2025/8/6
68,Auckland,Fu Market,"75G Porana Road, Glenfield, Auckland 0627",North Shore City,Supermarket,1.21*2.33m,"1,000",10,2025/10/8
69,Auckland, SPORTS CENTRE,,,,,,,
70,Auckland,Evergreen Sports,"22B Corinthian Drive. Albany, Auckland",North Shore City,Sports Centre,1.05*2.01m,180,6.2,2024/10/17
71,Auckland, SOUTH AUCKLAND,5 Panels,,,,,,
72,Auckland, RESTAURANT,,,,,,,
73,Auckland,Lucky Star Restaurant,"125 Great South Road, Papatoetoe, Manukau City 2025",South,Restaurant,1.05*2.01m,210,8,2024/4/12
74,Auckland,Golden Hyatt Chinese Restaurant,"140/144 King Street, Pukekohe 2120",South,Restaurant,1.05*2.01m,400,8,2025/5/27
